zone,sample_id,nitrogen,phosphorus,potassium,ph,ec,moisture,temperature,status,imbalance_type,timestamp
B,S_B_583,29.03,22.61,51.95,6.97,424.62,64.02,27.8,Unstable,Nitrogen Imbalance (Low),1776384451
D,S_D_318,28.51,47.07,75.09,7.06,553.04,55.62,31.0,Unstable,High Salinity Trend,1777338451
A,S_A_222,40.25,26.86,80.97,6.42,436.27,41.89,19.4,Unstable,Stable / Optimal,1777684051
B,S_B_936,32.7,24.49,28.77,7.02,711.53,46.14,16.0,Unstable,Acidic Trend,1775113651
E,S_E_425,82.81,9.55,-17.17,5.73,670.37,61.69,17.8,Unstable,Acidic Trend,1776953251
A,S_A_1169,54.16,20.08,84.66,6.83,758.83,59.61,30.6,Unstable,Acidic Trend,1774274851
A,S_A_880,30.74,19.75,68.3,6.64,538.57,33.12,27.9,Unstable,High Salinity Trend,1775315251
A,S_A_157,44.22,13.5,32.71,6.31,674.93,51.94,29.9,Unstable,Potassium Imbalance (Low),1777918051
B,S_B_458,33.51,25.79,38.36,6.84,578.78,51.1,34.0,Stable,Potassium Imbalance (Low),1776834451
A,S_A_324,39.34,17.54,48.83,6.41,318.59,52.8,24.3,Unstable,Stable / Optimal,1777316851
E,S_E_503,73.39,25.1,35.66,4.9,-128.72,67.13,8.8,Unstable,Nitrogen Imbalance (Low),1776672451
C,S_C_212,-3.06,17.07,64.72,7.13,594.08,-8.67,21.0,Stable,Stable / Optimal,1777720051
A,S_A_812,52.98,23.55,84.29,6.54,58.71,64.51,27.7,Unstable,Variable Stability,1775560051
A,S_A_394,48.62,15.85,73.66,6.59,804.85,52.27,23.4,Stable,Stable / Optimal,1777064851
C,S_C_1194,21.46,2.56,74.39,4.03,-404.72,45.02,9.9,Unstable,Acidic Trend,1774184851
C,S_C_239,8.01,-1.59,27.42,4.08,-52.99,2.54,29.1,Unstable,Acidic Trend,1777622851
B,S_B_988,36.89,14.51,64.55,5.09,102.87,76.71,24.0,Unstable,Acidic Trend,1774926451
E,S_E_552,-11.69,45.52,118.4,7.65,1449.43,109.09,37.5,Unstable,Nitrogen Imbalance (Low),1776496051
A,S_A_320,43.2,19.87,79.44,6.53,182.22,43.23,30.9,Stable,Stable / Optimal,1777331251
A,S_A_168,27.33,28.27,53.48,6.44,470.41,65.98,31.8,Unstable,Nitrogen Imbalance (Low),1777878451
A,S_A_747,48.04,22.1,35.69,6.26,451.54,38.22,32.4,Stable,Potassium Imbalance (Low),1775794051
E,S_E_671,78.29,13.07,86.22,5.55,780.91,63.66,10.2,Unstable,Variable Stability,1776067651
D,S_D_108,67.14,30.66,-13.55,6.35,1806.69,45.52,10.5,Unstable,Potassium Imbalance (Low),1778094451
C,S_C_365,38.16,-16.55,-12.32,3.5,1726.67,54.01,25.0,Stable,Acidic Trend,1777169251
E,S_E_313,61.43,37.91,125.35,4.74,2095.83,112.08,21.1,Unstable,Acidic Trend,1777356451
D,S_D_407,70.22,40.43,-1.13,3.5,1765.0,56.47,39.3,Unstable,Acidic Trend,1777018051
B,S_B_672,31.78,27.55,55.13,6.43,366.71,30.91,24.3,Unstable,High Salinity Trend,1776064051
E,S_E_957,63.67,0.62,50.2,4.29,-1761.75,10.24,26.5,Unstable,Acidic Trend,1775038051
C,S_C_794,0.95,-9.75,-1.74,5.16,729.29,-2.28,45.9,Stable,Variable Stability,1775624851
D,S_D_155,58.48,46.36,21.78,4.74,1223.22,68.84,36.0,Stable,Acidic Trend,1777925251
E,S_E_826,67.59,3.28,90.19,7.04,685.13,42.28,35.0,Unstable,Phosphorus Imbalance (Low),1775509651
E,S_E_095,53.0,26.58,19.83,6.75,267.64,45.52,26.6,Unstable,High Salinity Trend,1778141251
D,S_D_503,48.96,21.9,85.77,8.5,1525.03,46.56,21.3,Unstable,High Salinity Trend,1776672451
B,S_B_062,69.15,17.14,41.8,7.21,487.25,45.51,27.1,Stable,Nitrogen Imbalance (Low),1778260051
B,S_B_1139,71.63,16.13,56.07,5.87,510.5,54.19,20.1,Unstable,Variable Stability,1774382851
A,S_A_085,41.42,23.0,44.79,6.99,618.47,23.35,27.0,Stable,Stable / Optimal,1778177251
